country_code,region,NY.GDP.PCAP.CD,SP.POP.TOTL,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SE.SEC.NENR.MA,SE.SEC.NENR.FE
UGA,Sub-Saharan Africa,843.629415815721,38225453,NA,2.34049010276794,NA,NA
USA,North America,56839.3817742317,320635163,NA,NA,89.93936,92.66306
URY,Latin America & Caribbean,15613.7642726566,3412009,98.5238723754883,NA,78.40613,84.93637
UZB,Europe & Central Asia,2615.025134487,31298900,99.9838333129883,5.78637981414795,89.11628,88.34952
PRE,Aggregates,1584.92919993634,845759344,59.6622505187988,3.67008996009827,35.79906,30.08896
EAR,Aggregates,3302.72912446483,3122156905,77.9557800292969,NA,62.28183,62.81074
LTE,Aggregates,8218.98991105308,2247409050,95.6782608032227,4.70590019226074,81.11686,84.67427
PST,Aggregates,40587.2582499722,1096860060,NA,5.20592021942138,89.12834,90.65271
VCT,Latin America & Caribbean,6920.87807380804,109148,NA,NA,78.45248,91.57171
VEN,Latin America & Caribbean,NA,30081829,96.6052169799805,NA,72.00123,77.21328
VGB,Latin America & Caribbean,NA,29152,NA,5.13478994369507,76.08696,83.9851
VIR,Latin America & Caribbean,34797.14046978,107710,NA,NA,NA,NA
VNM,East Asia & Pacific,2085.10148409879,92677076,NA,NA,NA,NA
VUT,East Asia & Pacific,2801.93984778858,271130,NA,5.39081001281738,48.12172,49.82538
WSM,East Asia & Pacific,4073.66600980642,193513,NA,NA,81.60904,89.71274
EMU,Aggregates,34370.787184202,339488380,NA,4.90953016281128,89.5662,90.541
HIC,Aggregates,39735.3600817717,1212252370,NA,5.00505018234253,89.17572,90.6114
HPC,Aggregates,942.457852138424,718128416,59.6467590332031,3.73579502105713,34.85357,29.97528
IBD,Aggregates,5581.96056155466,4648915921,88.4513778686523,NA,72.17162,74.02076
IDA,Aggregates,1376.56371903656,1527218888,NA,3.93996512889862,41.49234,38.34268
IDB,Aggregates,1949.31270346127,512877243,65.0277404785156,4.91640496253967,43.93154,39.44573
IDX,Aggregates,1079.85092795776,1014341645,62.3978691101074,3.75254499912262,40.22954,37.81075
LAC,Aggregates,8475.77630051483,590731803,92.9517974853516,4.99870014190674,74.80961,78.21257
XKX,Europe & Central Asia,3603.02550073134,1788196,NA,NA,NA,NA
LDC,Aggregates,1026.91161565556,941131317,60.8761215209961,3.67008996009827,38.44527,36.09961
LIC,Aggregates,884.788310098557,603234541,58.580020904541,3.63233995437622,36.52726,31.42483
LMC,Aggregates,1884.58175710996,2749824313,73.6382675170898,NA,57.68747,57.52835
LMY,Aggregates,4417.78921029825,6126712584,83.1472015380859,4.07843017578125,62.76488,62.63716
MIC,Aggregates,4804.80429484218,5523478043,85.2175521850586,NA,66.68972,67.60717
MNA,Aggregates,3956.89408311174,363975550,76.6233215332031,NA,71.01426,66.12616
UMC,Aggregates,7698.21107087201,2773653730,95.0996170043945,NA,81.42275,84.13048
NAC,Aggregates,55519.9350321917,356403308,NA,NA,90.14432,92.64743
INX,Aggregates,NA,NA,NA,NA,NA,NA
YEM,Middle East & North Africa,1602.03784066157,26497889,NA,NA,NA,NA
EAS,Aggregates,9598.34532806707,2282855831,95.1382675170898,NA,77.24413,80.78122
ECS,Aggregates,22554.4672468035,906707416,98.1648712158203,4.88554000854492,90.14916,90.31518
ZAF,Sub-Saharan Africa,5734.63362915331,55386367,94.367919921875,5.95619010925293,91.20397,89.8737
SSA,Aggregates,1658.63061418504,994102454,63.4928588867188,3.80150008201599,36.66352,32.91337
NA,NA,1669.49676403401,995458478,63.5493583679199,4.14809000492096,36.66622,32.91653
NA,NA,8884.94545760073,622301083,93.1327514648438,4.93700504302979,75.07628,78.4996
ZMB,Sub-Saharan Africa,1337.79558561814,15879361,NA,4.6243200302124,NA,NA
MEA,Aggregates,7383.27989358861,425821770,79.4324264526367,NA,73.15713,68.66013
IBT,Aggregates,4540.02887982394,6176134809,83.2806396484375,4.12771010398864,62.81141,62.68639
ZWE,Sub-Saharan Africa,1445.07106198798,13814629,NA,NA,NA,NA
